Time,Room,Temperature,Humidity
15:04:29,Room1,31,74
15:04:30,Room2,33,44
15:04:32,Room3,31,49
15:04:49,Room1,24,55
15:04:51,Room2,30,67
15:04:53,Room3,34,55
15:05:11,Room1,32,78
15:05:13,Room2,29,41
15:05:16,Room3,23,46
15:05:33,Room1,30,72
15:05:36,Room2,30,63
15:05:39,Room3,35,58
15:05:56,Room1,25,56
15:05:58,Room2,22,52
15:06:00,Room3,24,80
15:06:17,Room1,34,71
15:06:18,Room2,32,78
15:06:20,Room3,35,73
,Room1,25,42
,Room2,28,69
,Room3,25,45
,Room1,33,52
,Room2,29,70
,Room3,20,46
,Room1,25,60
,Room2,23,67
,Room3,22,58
,Room1,29,59
,Room2,27,58
,Room3,22,47
,Room1,25,65
,Room2,27,54
,Room3,33,65
,Room1,28,66
,Room2,21,66
,Room3,33,48
,Room1,23,45
,Room2,34,47
,Room3,30,60
,Room1,32,67
,Room2,34,62
,Room3,25,61
,Room1,20,69
,Room2,31,52
,Room3,35,41
,Room1,30,54
,Room2,27,44
,Room3,27,53
,Room1,26,60
,Room2,29,54
,Room3,31,53
,Room1,31,64
,Room2,35,60
,Room3,28,45
,Room1,27,52
,Room2,33,49
,Room3,24,60
,Room1,31,49
,Room2,25,70
,Room3,26,42
,Room1,35,70
,Room2,20,56
,Room3,29,50
,Room1,23,47
,Room2,20,63
,Room3,20,65
,Room1,24,66
,Room2,29,49
,Room3,23,65
,Room1,31,54
,Room2,22,58
,Room3,32,68
,Room1,32,46
,Room2,26,61
,Room3,31,51
,Room1,22,57
,Room2,26,57
,Room3,28,55
,Room1,25,70
,Room2,22,44
,Room3,21,49
,Room1,25,66
,Room2,32,43
,Room3,23,60
,Room1,31,40
,Room2,29,64
,Room3,32,59
,Room1,31,70
,Room2,24,69
,Room3,30,56
,Room1,30,54
,Room2,33,48
,Room3,23,44
,Room1,27,53
,Room2,32,43
,Room3,33,70
,Room1,34,48
,Room2,35,48
,Room3,32,51
,Room1,32,64
,Room2,23,68
,Room3,22,44
,Room1,28,59
,Room2,24,52
,Room3,29,51
,Room1,35,70
,Room2,27,68
,Room3,29,41
,Room1,31,45
,Room2,22,52
,Room3,25,69
,Room1,29,52
,Room2,25,48
,Room3,24,57
,Room1,33,51
,Room2,23,62
,Room3,27,53
,Room1,34,49
,Room2,24,70
,Room3,32,45
,Room1,30,52
,Room2,29,68
,Room3,35,70
,Room1,34,69
,Room2,20,51
,Room3,27,61
,Room1,28,67
,Room2,33,42
,Room3,35,54
,Room1,34,53
,Room2,30,42
,Room3,25,45
,Room1,26,57
,Room2,29,61
,Room3,33,45
,Room1,32,63
,Room2,31,54
,Room3,23,67
,Room1,24,64
,Room2,22,54
,Room3,25,55
,Room1,21,59
,Room2,31,58
,Room3,32,67
,Room1,25,46
,Room2,30,58
,Room3,30,54
,Room1,30,52
,Room2,23,67
,Room3,32,52
,Room1,22,47
,Room2,32,46
,Room3,32,53
,Room1,26,40
,Room2,27,65
,Room3,29,68
,Room1,21,65
,Room2,25,55
,Room3,26,51
,Room1,29,47
,Room2,31,41
,Room3,32,58
,Room1,30,45
,Room2,30,56
,Room3,33,44
,Room1,33,58
,Room2,32,66
,Room3,31,57
,Room1,27,69
,Room2,28,62
,Room3,35,40
,Room1,31,59
,Room2,20,51
,Room3,21,43
,Room1,34,56
,Room2,24,69
,Room3,35,55
,Room1,27,40
,Room2,32,51
,Room3,27,61
,Room1,33,70
,Room2,34,69
,Room3,32,69
,Room1,30,44
,Room2,30,69
,Room3,30,60
,Room1,31,63
,Room2,31,49
,Room3,24,51
,Room1,30,70
,Room2,32,56
,Room3,32,66
,Room1,28,53
,Room2,24,64
,Room3,34,46
,Room1,27,69
,Room2,32,51
,Room3,28,67
,Room1,21,61
,Room2,33,50
,Room3,33,66
,Room1,32,63
,Room2,32,68
,Room3,20,52
,Room1,28,54
,Room2,30,51
,Room3,24,64
,Room1,27,61
,Room2,26,50
,Room3,20,40
,Room1,25,54
,Room2,30,48
,Room3,27,65
,Room1,26,50
,Room2,33,66
,Room3,33,46
,Room1,23,62
,Room2,26,47
,Room3,26,69
,Room1,22,56
,Room2,22,53
,Room3,21,41
,Room1,29,46
,Room2,35,48
,Room3,34,42
,Room1,23,61
,Room2,29,56
,Room3,26,65
,Room1,20,51
,Room2,33,68
,Room3,26,65
,Room1,23,56
,Room2,32,69
,Room3,25,52
,Room1,28,70
,Room2,21,60
,Room3,27,53
,Room1,27,43
,Room2,20,67
,Room3,23,44
,Room1,23,52
,Room2,23,57
,Room3,26,44
,Room1,31,46
,Room2,20,45
,Room3,32,61
,Room1,35,45
,Room2,22,63
,Room3,34,42
,Room1,24,68
,Room2,34,41
,Room3,30,65
,Room1,31,51
,Room2,33,62
,Room3,34,56
,Room1,23,44
,Room2,35,65
,Room3,28,41
,Room1,33,70
,Room2,29,55
,Room3,27,49
,Room1,25,41
,Room2,34,49
,Room3,32,69
